date,country,hospitalized_patients_symptoms,hospitalized_patients_intensive_care,total_hospitalized_patients,home_confinement_cases,total_current_confirmed_cases,new_current_confirmed_cases,new_total_confirmed_cases,recovered,deaths,total_confirmed_cases,tests_performed
2021-01-11 17:00:00 UTC,ITA,23603,2642,26245,549734,575979,-3953,12532,1633839,79203,2289021,27983049
2021-01-12 17:00:00 UTC,ITA,23712,2636,26348,543692,570040,-5939,14242,1653404,79819,2303263,28124690
2021-01-13 17:00:00 UTC,ITA,23525,2579,26104,538670,564774,-5266,15774,1673936,80326,2319036,28300119
2021-01-14 17:00:00 UTC,ITA,23110,2557,25667,535713,561380,-3394,17246,1694051,80848,2336279,28460704
2021-01-15 17:00:00 UTC,ITA,22841,2522,25363,532705,558068,-3312,16146,1713030,81325,2352423,28734210
2021-01-16 17:00:00 UTC,ITA,22784,2520,25304,532413,557717,-351,16310,1729216,81800,2368733,28995614
2021-01-17 17:00:00 UTC,ITA,22757,2503,25260,528114,553374,-4343,12545,1745726,82177,2381277,29206692
2021-01-18 17:00:00 UTC,ITA,22884,2544,25428,521631,547059,-6315,8825,1760489,82554,2390102,29365366
2021-01-19 17:00:00 UTC,ITA,22699,2487,25186,510338,535524,-11535,10497,1781917,83157,2400598,29619436
2021-01-20 17:00:00 UTC,ITA,22469,2461,24930,498623,523553,-11971,13571,1806932,83681,2414166,29899198
2021-01-21 17:00:00 UTC,ITA,22045,2418,24463,492105,516568,-6985,14078,1827451,84202,2428221,30166765
2021-01-22 17:00:00 UTC,ITA,21691,2390,24081,477972,502053,-14515,13633,1855127,84674,2441854,30431493
2021-01-23 17:00:00 UTC,ITA,21403,2386,23789,475045,498834,-3219,13331,1871189,85162,2455185,30717824
2021-01-24 17:00:00 UTC,ITA,21309,2400,23709,475569,499278,444,11629,1882074,85461,2466813,30934035
2021-01-25 17:00:00 UTC,ITA,21424,2421,23845,467785,491630,-7648,8562,1897861,85881,2475372,31060966
2021-01-26 17:00:00 UTC,ITA,21355,2372,23727,458690,482417,-9213,10593,1917117,86422,2485956,31317253
2021-01-27 17:00:00 UTC,ITA,21161,2352,23513,454456,477969,-4448,15204,1936289,86889,2501147,31611023
2021-01-28 17:00:00 UTC,ITA,20778,2288,23066,451551,474617,-3352,14372,1953509,87381,2515507,31886602
2021-01-29 17:00:00 UTC,ITA,20397,2270,22667,445157,467824,-6793,13574,1973388,87858,2529070,32155352
2021-01-30 17:00:00 UTC,ITA,20098,2218,22316,441036,463352,-4472,12715,1990152,88279,2541783,32453362
2021-01-31 17:00:00 UTC,ITA,20096,2215,22311,431657,453968,-9384,11252,2010548,88516,2553032,32666726
2021-02-01 17:00:00 UTC,ITA,20260,2252,22512,425077,447589,-6379,7925,2024523,88845,2560957,32809145
2021-02-02 17:00:00 UTC,ITA,20317,2214,22531,415234,437765,-9824,9660,2043499,89344,2570608,33053574
